reference,gene_name
V9GYZ6,V9GYZ6
V9GYZ5,V9GYZ5
V9GYZ4,V9GYZ4
V9GYZ1,V9GYZ1
V9GYZ0,V9GYZ0
V9GYY9,V9GYY9
V9GYY8,V9GYY8
V9GYY7,V9GYY7
V9GYY6,V9GYY6
V9GYY5,V9GYY5
V9GYY4,V9GYY4
V9GYY3,V9GYY3
V9GYY2,V9GYY2
V9GYY1,V9GYY1
V9GYY0,V9GYY0
V9GYX8,V9GYX8
V9GYX7,V9GYX7
V9GYX6,V9GYX6
V9GYX5,V9GYX5
V9GYX4,V9GYX4
V9GYX0,V9GYX0
V9GYW9,V9GYW9
V9GYW8,V9GYW8
V9GYW7,V9GYW7
V9GYW6,V9GYW6
V9GYW4,V9GYW4
V9GYW3,V9GYW3
V9GYW1,V9GYW1
V9GYW0,V9GYW0
V9GYV8,V9GYV8
V9GYV7,V9GYV7
V9GYV6,V9GYV6
V9GYV5,V9GYV5
V9GYV4,V9GYV4
V9GYV3,V9GYV3
V9GYV2,V9GYV2
V9GYV0,V9GYV0
V9GYU9,V9GYU9
V9GYU8,V9GYU8
V9GYU7,V9GYU7
V9GYU6,V9GYU6
V9GYU5,V9GYU5
V9GYU4,V9GYU4
V9GYU3,V9GYU3
V9GYU2,V9GYU2
V9GYU1,V9GYU1
V9GYU0,V9GYU0
V9GYT9,V9GYT9
V9GYT8,V9GYT8
V9GYT7,V9GYT7
V9GYT6,V9GYT6
V9GYT5,V9GYT5
V9GYT3,V9GYT3
V9GYT2,V9GYT2
V9GYT0,V9GYT0
V9GYS9,V9GYS9
V9GYS8,V9GYS8
V9GYS7,V9GYS7
V9GYS6,V9GYS6
V9GYS5,V9GYS5
V9GYS4,V9GYS4
V9GYS3,V9GYS3
V9GYS2,V9GYS2
V9GYS1,V9GYS1
V9GYS0,V9GYS0
V9GYR8,V9GYR8
V9GYR7,V9GYR7
V9GYR6,V9GYR6
V9GYR5,V9GYR5
V9GYR3,V9GYR3
V9GYR2,V9GYR2
V9GYR0,V9GYR0
V9GYQ9,V9GYQ9
V9GYQ8,V9GYQ8
V9GYQ6,V9GYQ6
V9GYQ5,V9GYQ5
V9GYQ4,V9GYQ4
V9GYQ3,V9GYQ3
V9GYQ2,V9GYQ2
V9GYQ1,V9GYQ1
V9GYP9,V9GYP9
V9GYP8,V9GYP8
V9GYP6,V9GYP6
V9GYP5,V9GYP5
V9GYP4,V9GYP4
V9GYP3,V9GYP3
V9GYP2,V9GYP2
V9GYP0,V9GYP0
V9GYN9,V9GYN9
V9GYN8,V9GYN8
V9GYN7,V9GYN7
V9GYN6,V9GYN6
V9GYN5,V9GYN5
V9GYN4,V9GYN4
V9GYN3,V9GYN3
V9GYN2,V9GYN2
V9GYN1,V9GYN1
V9GYM9,V9GYM9
V9GYM8,V9GYM8
V9GYM6,V9GYM6
V9GYM5,V9GYM5
V9GYM3,V9GYM3
V9GYM2,V9GYM2
V9GYM1,V9GYM1
V9GYM0,V9GYM0
V9GYL9,V9GYL9
V9GYL8,V9GYL8
V9GYL7,V9GYL7
V9GYL6,V9GYL6
V9GYL4,V9GYL4
V9GYL3,V9GYL3
V9GYL2,V9GYL2
V9GYL1,V9GYL1
V9GYL0,V9GYL0
V9GYK9,V9GYK9
V9GYK7,V9GYK7
V9GYK6,V9GYK6
V9GYK5,V9GYK5
V9GYK4,V9GYK4
V9GYK3,V9GYK3
V9GYK2,V9GYK2
V9GYK1,V9GYK1
V9GYJ9,V9GYJ9
V9GYJ8,V9GYJ8
V9GYJ7,V9GYJ7
V9GYJ6,V9GYJ6
V9GYJ5,V9GYJ5
V9GYJ4,V9GYJ4
V9GYJ3,V9GYJ3
V9GYJ2,V9GYJ2
V9GYJ1,V9GYJ1
V9GYJ0,V9GYJ0
V9GYI9,V9GYI9
V9GYI8,V9GYI8
V9GYI7,V9GYI7
V9GYI6,V9GYI6
V9GYI5,V9GYI5
V9GYI4,V9GYI4
V9GYI2,V9GYI2
V9GYI1,V9GYI1
V9GYI0,V9GYI0
V9GYH6,V9GYH6
V9GYH5,V9GYH5
V9GYH3,V9GYH3
V9GYH2,V9GYH2
V9GYH1,V9GYH1
V9GYH0,V9GYH0
V9GYG9,V9GYG9
V9GYG8,V9GYG8
V9GYG7,V9GYG7
V9GYG6,V9GYG6
V9GYG5,V9GYG5
V9GYG2,V9GYG2
V9GYG1,V9GYG1
V9GYG0,V9GYG0
V9GYF9,V9GYF9
V9GYF8,V9GYF8
V9GYF7,V9GYF7
V9GYF5,V9GYF5
V9GYF4,V9GYF4
V9GYF2,V9GYF2
V9GYF1,V9GYF1
V9GYF0,V9GYF0
V9GYE9,V9GYE9
V9GYE8,V9GYE8
V9GYE7,V9GYE7
V9GYE4,V9GYE4
V9GYE3,V9GYE3
V9GYE2,V9GYE2
V9GYE1,V9GYE1
V9GYE0,V9GYE0
V9GYD9,V9GYD9
V9GYD8,V9GYD8
V9GYD7,V9GYD7
V9GYD6,V9GYD6
V9GYD5,V9GYD5
V9GYD4,V9GYD4
V9GYD3,V9GYD3
V9GYD2,V9GYD2
V9GYD1,V9GYD1
V9GYD0,V9GYD0
V9GYC9,V9GYC9
V9GYC8,V9GYC8
V9GYC7,V9GYC7
V9GYC6,V9GYC6
V9GYC5,V9GYC5
V9GYC4,V9GYC4
V9GYC3,V9GYC3
V9GYC2,V9GYC2
V9GYC1,V9GYC1
V9GYC0,V9GYC0
V9GYB9,V9GYB9
V9GYB8,V9GYB8
V9GYB7,V9GYB7
V9GYB6,V9GYB6
V9GYB4,V9GYB4
V9GYB3,V9GYB3
V9GYB2,V9GYB2
V9GYB1,V9GYB1
V9GYB0,V9GYB0
V9GYA9,V9GYA9
V9GYA7,V9GYA7
V9GYA6,V9GYA6
V9GYA5,V9GYA5
V9GYA4,V9GYA4
V9GYA3,V9GYA3
V9GYA2,V9GYA2
V9GYA1,V9GYA1
V9GYA0,V9GYA0
V9GY99,V9GY99
V9GY98,V9GY98
V9GY97,V9GY97
V9GY96,V9GY96
V9GY95,V9GY95
V9GY94,V9GY94
V9GY93,V9GY93
V9GY92,V9GY92
V9GY91,V9GY91
V9GY88,V9GY88
V9GY86,V9GY86
V9GY85,V9GY85
V9GY84,V9GY84
V9GY83,V9GY83
V9GY82,V9GY82
V9GY80,V9GY80
V9GY78,V9GY78
V9GY77,V9GY77
V9GY76,V9GY76
V9GY75,V9GY75
V9GY74,V9GY74
V9GY73,V9GY73
V9GY72,V9GY72
V9GY71,V9GY71
V9GY70,V9GY70
V9GY69,V9GY69
V9GY67,V9GY67
V9GY66,V9GY66
V9GY64,V9GY64
V9GY63,V9GY63
V9GY62,V9GY62
V9GY61,V9GY61
V9GY60,V9GY60
V9GY58,V9GY58
V9GY57,V9GY57
V9GY55,V9GY55
V9GY54,V9GY54
V9GY52,V9GY52
V9GY51,V9GY51
V9GY50,V9GY50
V9GY49,V9GY49
V9GY48,V9GY48
V9GY47,V9GY47
V9GY46,V9GY46
V9GY43,V9GY43
V9GY41,V9GY41
V9GY40,V9GY40
V9GY37,V9GY37
V9GY36,V9GY36
V9GY35,V9GY35
V9GY34,V9GY34
V9GY33,V9GY33
V9GY32,V9GY32
V9GY30,V9GY30
V9GY29,V9GY29
V9GY28,V9GY28
V9GY27,V9GY27
V9GY25,V9GY25
V9GY23,V9GY23
V9GY21,V9GY21
V9GY20,V9GY20
V9GY19,V9GY19
V9GY18,V9GY18
V9GY16,V9GY16
V9GY14,V9GY14
V9GY13,V9GY13
V9GY12,V9GY12
V9GY11,V9GY11
V9GY06,V9GY06
V9GY05,V9GY05
V9GY04,V9GY04
V9GY03,V9GY03
V9GY02,V9GY02
V9GY01,V9GY01
V9GY00,V9GY00
V9GXZ9,V9GXZ9
V9GXZ8,V9GXZ8
V9GXZ7,V9GXZ7
V9GXZ6,V9GXZ6
V9GXZ5,V9GXZ5
V9GXZ4,V9GXZ4
V9GXZ2,V9GXZ2
V9GXZ1,V9GXZ1
V5IRT4,V5IRT4
U5Y3L1,U5Y3L1
U5XJZ2,U5XJZ2
U5GXS2,U5GXS2
U5GXS1,U5GXS1
U5GXS0,U5GXS0
U3NG26,U3NG26
U3LVN1,U3LVN1
U3KRG3,U3KRG3
U3KQV5,U3KQV5
U3KQV4,U3KQV4
U3KQV3,U3KQV3
U3KQV2,U3KQV2
U3KQV1,U3KQV1
